trial,block,stimId,category,response,rt,condition,id,phase
1,2,A350,Alpha,a,6084,2,12219,study
2,2,A450,Alpha,a,3558,2,12219,study
3,2,A50,Alpha,a,3335,2,12219,study
4,2,A250,Alpha,a,5447,2,12219,study
0,3,A450,Alpha,a,3460,2,12219,study
1,3,A50,Alpha,a,3504,2,12219,study
2,3,A250,Alpha,a,2522,2,12219,study
3,3,A150,Alpha,a,2475,2,12219,study
4,3,A350,Alpha,a,4111,2,12219,study
0,4,A150,Alpha,a,6259,2,12219,study
1,4,A450,Alpha,a,2052,2,12219,study
2,4,A250,Alpha,a,4129,2,12219,study
3,4,A350,Alpha,a,3171,2,12219,study
4,4,A50,Alpha,a,3378,2,12219,study
0,0,A150,Alpha,a,6321,2,12222,study
1,0,A50,Alpha,a,3743,2,12222,study
2,0,A250,Alpha,a,1942,2,12222,study
3,0,A350,Alpha,a,2248,2,12222,study
4,0,A450,Alpha,a,1959,2,12222,study
0,1,A450,Alpha,a,2367,2,12222,study
1,1,A150,Alpha,a,1590,2,12222,study
2,1,A250,Alpha,a,1157,2,12222,study
3,1,A350,Alpha,a,1222,2,12222,study
4,1,A50,Alpha,a,2015,2,12222,study
0,2,A450,Alpha,a,1422,2,12222,study
1,2,A350,Alpha,a,812,2,12222,study
2,2,A50,Alpha,a,1746,2,12222,study
3,2,A250,Alpha,a,1076,2,12222,study
4,2,A150,Alpha,a,840,2,12222,study
0,3,A150,Alpha,a,1726,2,12222,study
1,3,A50,Alpha,a,960,2,12222,study
2,3,A350,Alpha,a,1872,2,12222,study
3,3,A250,Alpha,a,1062,2,12222,study
4,3,A450,Alpha,a,1225,2,12222,study
0,4,A50,Alpha,a,1239,2,12222,study
1,4,A150,Alpha,a,645,2,12222,study
2,4,A450,Alpha,a,770,2,12222,study
3,4,A250,Alpha,a,859,2,12222,study
4,4,A350,Alpha,a,863,2,12222,study
0,0,A150,Alpha,a,3933,2,12225,study
1,0,A250,Alpha,a,1921,2,12225,study
2,0,A450,Alpha,a,1700,2,12225,study
3,0,A50,Alpha,a,1325,2,12225,study
4,0,A350,Alpha,a,1521,2,12225,study
0,1,A50,Alpha,a,1323,2,12225,study
1,1,A250,Alpha,a,1908,2,12225,study
2,1,A450,Alpha,a,1799,2,12225,study
3,1,A350,Alpha,a,1519,2,12225,study
4,1,A150,Alpha,a,1136,2,12225,study
0,2,A50,Alpha,a,1267,2,12225,study
1,2,A350,Alpha,a,2040,2,12225,study
2,2,A250,Alpha,a,1204,2,12225,study
3,2,A450,Alpha,a,1314,2,12225,study
4,2,A150,Alpha,a,1116,2,12225,study
0,3,A250,Alpha,a,902,2,12225,study
1,3,A350,Alpha,a,1556,2,12225,study
2,3,A450,Alpha,a,1795,2,12225,study
3,3,A50,Alpha,a,1850,2,12225,study
4,3,A150,Alpha,a,1529,2,12225,study
0,4,A50,Alpha,a,1665,2,12225,study
1,4,A250,Alpha,a,1527,2,12225,study
2,4,A350,Alpha,a,1257,2,12225,study
3,4,A450,Alpha,a,1238,2,12225,study
4,4,A150,Alpha,a,1182,2,12225,study
0,0,A350,Alpha,a,3735,2,12228,study
1,0,A150,Alpha,a,2134,2,12228,study
2,0,A450,Alpha,a,2267,2,12228,study
3,0,A250,Alpha,a,1389,2,12228,study
4,0,A50,Alpha,a,1332,2,12228,study
0,1,A250,Alpha,a,2245,2,12228,study
1,1,A50,Alpha,a,1683,2,12228,study
2,1,A450,Alpha,a,2015,2,12228,study
3,1,A350,Alpha,a,3093,2,12228,study
4,1,A150,Alpha,a,1883,2,12228,study
0,2,A350,Alpha,a,1637,2,12228,study
1,2,A150,Alpha,a,1650,2,12228,study
2,2,A450,Alpha,a,1494,2,12228,study
3,2,A50,Alpha,a,1974,2,12228,study
4,2,A250,Alpha,a,1859,2,12228,study
0,3,A250,Alpha,a,1072,2,12228,study
1,3,A50,Alpha,a,1204,2,12228,study
2,3,A150,Alpha,a,1186,2,12228,study
3,3,A450,Alpha,a,988,2,12228,study
4,3,A350,Alpha,a,985,2,12228,study
0,4,A50,Alpha,a,1233,2,12228,study
1,4,A250,Alpha,a,1926,2,12228,study
2,4,A150,Alpha,a,741,2,12228,study
3,4,A450,Alpha,a,738,2,12228,study
4,4,A350,Alpha,a,1420,2,12228,study
0,0,A150,Alpha,a,8353,2,12250,study
1,0,A350,Alpha,a,4619,2,12250,study
2,0,A450,Alpha,a,6943,2,12250,study
3,0,A50,Alpha,a,2958,2,12250,study
4,0,A250,Alpha,a,3901,2,12250,study
0,1,A250,Alpha,a,5436,2,12250,study
1,1,A150,Alpha,a,4981,2,12250,study
2,1,A50,Alpha,a,3293,2,12250,study
3,1,A450,Alpha,a,3098,2,12250,study
4,1,A350,Alpha,a,2774,2,12250,study
0,2,A150,Alpha,a,3581,2,12250,study
1,2,A50,Alpha,a,2757,2,12250,study
2,2,A450,Alpha,a,3230,2,12250,study
3,2,A350,Alpha,a,4461,2,12250,study
4,2,A250,Alpha,a,4510,2,12250,study
0,3,A350,Alpha,a,3870,2,12250,study
1,3,A250,Alpha,a,1654,2,12250,study
2,3,A450,Alpha,a,1094,2,12250,study
3,3,A150,Alpha,a,1196,2,12250,study
4,3,A50,Alpha,a,3677,2,12250,study
0,4,A50,Alpha,a,1797,2,12250,study
1,4,A150,Alpha,a,1400,2,12250,study
2,4,A350,Alpha,a,2078,2,12250,study
3,4,A450,Alpha,a,2594,2,12250,study
4,4,A250,Alpha,a,3635,2,12250,study
0,0,A50,Alpha,a,10487,2,12253,study
1,0,A250,Alpha,a,7335,2,12253,study
2,0,A150,Alpha,a,6088,2,12253,study
3,0,A450,Alpha,a,5282,2,12253,study
4,0,A350,Alpha,a,4181,2,12253,study
0,1,A50,Alpha,a,4749,2,12253,study
1,1,A150,Alpha,a,4509,2,12253,study
2,1,A250,Alpha,a,3991,2,12253,study
3,1,A350,Alpha,a,3837,2,12253,study
4,1,A450,Alpha,a,2996,2,12253,study
0,2,A250,Alpha,a,3329,2,12253,study
1,2,A450,Alpha,a,2539,2,12253,study
2,2,A50,Alpha,a,1900,2,12253,study
3,2,A350,Alpha,a,2934,2,12253,study
4,2,A150,Alpha,a,2615,2,12253,study
0,3,A150,Alpha,a,2461,2,12253,study
1,3,A350,Alpha,a,2575,2,12253,study
2,3,A450,Alpha,a,2230,2,12253,study
3,3,A50,Alpha,a,2303,2,12253,study
4,3,A250,Alpha,a,2582,2,12253,study
0,4,A50,Alpha,a,2481,2,12253,study
1,4,A350,Alpha,a,2164,2,12253,study
2,4,A450,Alpha,a,2391,2,12253,study
3,4,A250,Alpha,a,2060,2,12253,study
4,4,A150,Alpha,a,1865,2,12253,study
0,0,A350,Alpha,a,10872,2,12137,study
1,0,A450,Alpha,a,6393,2,12137,study
2,0,A50,Alpha,a,2046,2,12137,study
3,0,A250,Alpha,a,3978,2,12137,study
4,0,A150,Alpha,a,2221,2,12137,study
0,1,A150,Alpha,a,733,2,12137,study
1,1,A250,Alpha,a,2061,2,12137,study
2,1,A350,Alpha,a,4933,2,12137,study
3,1,A450,Alpha,a,1490,2,12137,study
4,1,A50,Alpha,a,861,2,12137,study
0,2,A50,Alpha,a,1393,2,12137,study
1,2,A450,Alpha,a,2953,2,12137,study
2,2,A250,Alpha,a,1354,2,12137,study
3,2,A150,Alpha,a,1965,2,12137,study
4,2,A350,Alpha,a,1704,2,12137,study
0,3,A250,Alpha,a,2231,2,12137,study
1,3,A450,Alpha,a,2547,2,12137,study
2,3,A150,Alpha,a,1540,2,12137,study
3,3,A50,Alpha,a,1375,2,12137,study
4,3,A350,Alpha,a,1639,2,12137,study
0,4,A150,Alpha,a,1181,2,12137,study
1,4,A250,Alpha,a,645,2,12137,study
2,4,A450,Alpha,a,1799,2,12137,study
3,4,A350,Alpha,a,2766,2,12137,study
4,4,A50,Alpha,a,935,2,12137,study
0,0,A150,Alpha,a,2811,2,12256,study
1,0,A350,Alpha,a,1496,2,12256,study
2,0,A250,Alpha,a,1072,2,12256,study
3,0,A50,Alpha,a,974,2,12256,study
4,0,A450,Alpha,a,1462,2,12256,study
0,1,A50,Alpha,a,938,2,12256,study
1,1,A150,Alpha,a,874,2,12256,study
2,1,A450,Alpha,a,799,2,12256,study
3,1,A250,Alpha,a,1000,2,12256,study
4,1,A350,Alpha,a,1125,2,12256,study
0,2,A450,Alpha,a,886,2,12256,study
1,2,A350,Alpha,a,669,2,12256,study
2,2,A150,Alpha,a,723,2,12256,study
3,2,A250,Alpha,a,827,2,12256,study
4,2,A50,Alpha,a,883,2,12256,study
0,3,A250,Alpha,a,1023,2,12256,study
1,3,A350,Alpha,a,974,2,12256,study
2,3,A50,Alpha,a,645,2,12256,study
3,3,A150,Alpha,a,807,2,12256,study
4,3,A450,Alpha,a,1008,2,12256,study
0,4,A350,Alpha,a,688,2,12256,study
1,4,A50,Alpha,a,901,2,12256,study
2,4,A250,Alpha,a,590,2,12256,study
3,4,A450,Alpha,a,560,2,12256,study
4,4,A150,Alpha,a,528,2,12256,study
0,0,A50,Alpha,a,3718,2,12273,study
1,0,A350,Alpha,a,2670,2,12273,study
2,0,A150,Alpha,a,3250,2,12273,study
3,0,A250,Alpha,a,3420,2,12273,study
4,0,A450,Alpha,a,3557,2,12273,study
0,1,A450,Alpha,a,1799,2,12273,study
1,1,A250,Alpha,a,2405,2,12273,study
2,1,A150,Alpha,a,1789,2,12273,study
3,1,A350,Alpha,a,1844,2,12273,study
4,1,A50,Alpha,a,1409,2,12273,study
0,2,A450,Alpha,a,2150,2,12273,study
1,2,A50,Alpha,a,2280,2,12273,study
